subject,subjID,block,code,target_syll,sequence_file,tgt_word,tgt_pos,detect,rt
1,a0604,3,14,ro,cue_linfade_exp_seq_A_22.wav,2,1,1,879.100000000006
1,a0604,3,0,ro,cue_linfade_exp_seq_A_22.wav,2,1,,
1,a0604,3,0,ro,cue_linfade_exp_seq_A_22.wav,2,1,2,
1,a0604,3,15,ro,cue_linfade_exp_seq_A_22.wav,2,1,0,
1,a0604,3,16,ro,cue_linfade_exp_seq_A_22.wav,2,1,1,756.900000000023
1,a0604,3,0,ro,cue_linfade_exp_seq_A_22.wav,2,1,,
1,a0604,3,0,ro,cue_linfade_exp_seq_A_22.wav,2,1,2,
1,a0604,3,17,ro,cue_linfade_exp_seq_A_22.wav,2,1,1,966.800000000017
1,a0604,3,0,ro,cue_linfade_exp_seq_A_22.wav,2,1,,
1,a0604,3,18,ro,cue_linfade_exp_seq_A_22.wav,2,1,0,
1,a0604,4,1,po,cue_linfade_exp_seq_A_04.wav,3,2,1,540.400000000023
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,2,po,cue_linfade_exp_seq_A_04.wav,3,2,1,462.200000000012
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,3,po,cue_linfade_exp_seq_A_04.wav,3,2,1,482.200000000012
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,4,po,cue_linfade_exp_seq_A_04.wav,3,2,1,524.100000000035
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,2,
1,a0604,4,5,po,cue_linfade_exp_seq_A_04.wav,3,2,1,618.100000000035
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,6,po,cue_linfade_exp_seq_A_04.wav,3,2,1,418
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,7,po,cue_linfade_exp_seq_A_04.wav,3,2,1,426
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,8,po,cue_linfade_exp_seq_A_04.wav,3,2,1,475.799999999988
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,9,po,cue_linfade_exp_seq_A_04.wav,3,2,1,473.600000000035
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,10,po,cue_linfade_exp_seq_A_04.wav,3,2,1,501.600000000035
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,2,
1,a0604,4,11,po,cue_linfade_exp_seq_A_04.wav,3,2,1,549.400000000023
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,12,po,cue_linfade_exp_seq_A_04.wav,3,2,1,427.299999999988
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,13,po,cue_linfade_exp_seq_A_04.wav,3,2,1,609.299999999988
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,14,po,cue_linfade_exp_seq_A_04.wav,3,2,0,
1,a0604,4,15,po,cue_linfade_exp_seq_A_04.wav,3,2,1,403.100000000035
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,16,po,cue_linfade_exp_seq_A_04.wav,3,2,1,519.100000000035
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,17,po,cue_linfade_exp_seq_A_04.wav,3,2,1,453
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,4,18,po,cue_linfade_exp_seq_A_04.wav,3,2,1,539
1,a0604,4,0,po,cue_linfade_exp_seq_A_04.wav,3,2,,
1,a0604,5,1,se,cue_linfade_exp_seq_A_08.wav,2,3,1,390.5
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,2,se,cue_linfade_exp_seq_A_08.wav,2,3,1,596.400000000023
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,3,se,cue_linfade_exp_seq_A_08.wav,2,3,1,514.400000000023
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,4,se,cue_linfade_exp_seq_A_08.wav,2,3,1,438.400000000023
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,5,se,cue_linfade_exp_seq_A_08.wav,2,3,1,372.200000000012
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,6,se,cue_linfade_exp_seq_A_08.wav,2,3,1,328.200000000012
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,7,se,cue_linfade_exp_seq_A_08.wav,2,3,1,552.099999999977
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,8,se,cue_linfade_exp_seq_A_08.wav,2,3,1,404
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,2,
