subject,subj_id,session,block,prop_word_faster,pwf_ord1,pwf_ord2,nwf_ord1,nwf_ord2
1,a0604,1,1,0.166666666666667,0,0.0833333333333333,0,2
1,a0604,1,2,0.416666666666667,0.0416666666666667,0.166666666666667,1,4
1,a0604,1,3,0.5,0.0833333333333333,0.166666666666667,2,4
1,a0604,1,4,0.583333333333333,0.125,0.166666666666667,3,4
1,a0604,2,1,0.333333333333333,0.0416666666666667,0.125,1,3
1,a0604,2,2,0.333333333333333,0.0416666666666667,0.125,1,3
1,a0604,2,3,0.583333333333333,0.125,0.166666666666667,3,4
1,a0604,2,4,0.416666666666667,0.0833333333333333,0.125,2,3
2,b0207,1,1,0.5,0.166666666666667,0.0833333333333333,4,2
2,b0207,1,2,0.5,0.0833333333333333,0.166666666666667,2,4
2,b0207,1,3,0.75,0.166666666666667,0.208333333333333,4,5
2,b0207,1,4,0.666666666666667,0.25,0.0833333333333333,6,2
2,b0207,2,1,0.5,0.166666666666667,0.0833333333333333,4,2
2,b0207,2,2,0.666666666666667,0.125,0.208333333333333,3,5
2,b0207,2,3,0.583333333333333,0.125,0.166666666666667,3,4
2,b0207,2,4,0.583333333333333,0.125,0.166666666666667,3,4
3,b1111,1,1,0.416666666666667,0.0833333333333333,0.125,2,3
3,b1111,1,2,0.416666666666667,0.0416666666666667,0.166666666666667,1,4
3,b1111,1,3,0.666666666666667,0.166666666666667,0.166666666666667,4,4
3,b1111,1,4,0.333333333333333,0.0416666666666667,0.125,1,3
3,b1111,2,1,0.416666666666667,0.0416666666666667,0.166666666666667,1,4
3,b1111,2,2,0.333333333333333,0.0416666666666667,0.125,1,3
3,b1111,2,3,0.5,0.125,0.125,3,3
3,b1111,2,4,0.583333333333333,0.125,0.166666666666667,3,4
4,b2205,1,1,0.416666666666667,0.125,0.0833333333333333,3,2
4,b2205,1,2,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
4,b2205,1,3,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
4,b2205,1,4,0.583333333333333,0.125,0.166666666666667,3,4
4,b2205,2,1,0.666666666666667,0.166666666666667,0.166666666666667,4,4
4,b2205,2,2,0.25,0.0416666666666667,0.0833333333333333,1,2
4,b2205,2,3,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
4,b2205,2,4,0.666666666666667,0.166666666666667,0.166666666666667,4,4
5,b2308,1,1,0.916666666666667,0.208333333333333,0.25,5,6
5,b2308,1,2,0.583333333333333,0.125,0.166666666666667,3,4
5,b2308,1,3,0.5,0.125,0.125,3,3
5,b2308,1,4,0.833333333333333,0.208333333333333,0.208333333333333,5,5
5,b2308,2,1,0.416666666666667,0.166666666666667,0.0416666666666667,4,1
5,b2308,2,2,0.5,0.0833333333333333,0.166666666666667,2,4
5,b2308,2,3,0.166666666666667,0.0416666666666667,0.0416666666666667,1,1
5,b2308,2,4,0,0,0,0,0
