subject,test,n.with,n.accr,mean.with,mean.accr,score
25,word identity,12,36,-0.1684790217312581,0.05080932046834516,-3.3159077936541705
25,duplets,8,4,-0.0998817328022261,-0.30567359958932205,0.3267594353467849
26,ordinal position,12,8,0.09929785442551413,0.16846789516901667,0.5894170775143408
26,transitional probability,6,6,-0.08535569401527479,0.28395140286630305,-0.30059965597516014
26,word identity,8,24,0.16846789516901667,-0.10347142118661459,-1.628158705437886
26,duplets,5,3,0.23630602124195946,0.055404351714111996,4.265116618660302
27,ordinal position,18,12,-0.05176428303683628,0.18364509400897971,-0.28187130898419294
27,transitional probability,6,12,0.020454194453789726,-0.08787352178214927,-0.2327685750947655
27,word identity,12,36,0.18364509400897971,0.020860973251908905,8.8032850524927
27,duplets,8,4,0.26526329233420143,0.02040869735853627,12.997561170813812
28,ordinal position,18,12,-0.04175615198105538,0.04779003368235307,-0.8737418403719234
28,transitional probability,6,12,0.055120473986008195,-0.09019446496458718,-0.6111292306867169
28,word identity,12,36,0.04779003368235307,0.001549095569095852,30.850281051572754
28,duplets,8,4,0.03950632960298588,0.06435744184108745,0.6138579855385741
29,ordinal position,5,5,-3.604365338911715,3.7429947750237047,-0.9629629629629628
29,transitional probability,3,2,6.353849155132832,-18.541687079978537,-0.3426791277258567
29,word identity,5,14,3.7429947750237047,0,Inf
29,duplets,3,2,6.122800094946183,0.1732867951399868,35.333333333333236
30,ordinal position,18,12,0.050379837163352766,-0.07666936096274374,-0.6571052181827112
30,transitional probability,6,12,0.24871273734230764,-0.04878661292612468,-5.097970988863726
30,word identity,12,36,-0.07666936096274374,0.08444759077543976,-0.9078928156354439
30,duplets,8,4,-0.14772299247287723,0.06543790205752326,-2.2574530635627834
31,ordinal position,18,12,-0.08498143959673306,-0.18481965074800133,0.4598073811566926
31,transitional probability,6,12,-0.01219908087452687,-0.12137261895783616,0.10050933216465181
31,word identity,12,36,-0.18481965074800133,0.01295983092955198,-14.260961562898299
31,duplets,8,4,-0.1478818710654758,-0.2586952101130524,0.5716451843111047
32,ordinal position,18,12,-0.08362498900924158,0.011120368258099285,-7.519983787257682
32,transitional probability,6,12,-0.03263308866710956,-0.10912093918030757,0.29905432369114604
32,word identity,12,36,0.011120368258099285,0.020766419067632345,0.5354976330720441
32,duplets,8,4,0.017889049773904587,-0.002416994773511316,-7.401360553178222
33,ordinal position,18,12,-0.02041326306412217,0.07344151174358794,-0.27795265347195713
33,transitional probability,6,12,-0.08312443067941726,0.010942320743525373,-7.596599718446601
33,word identity,12,36,0.07344151174358794,-0.06272489873253562,-1.1708510213264574
33,duplets,8,4,0.026128859760708334,0.16806681570934714,0.1554670959310331
