subject,test,n,mean.with,mean.accr,w,CI.low,CI.hi,min_p,p
a0604,ordinal position,10,0.2179949612568194,0.16452724936501834,55,-0.2852791942716844,0.34014504058165695,0.001953125,0.7393643508194593
a0604,transitional probability,3,0.16039655940855876,0.2944435239081639,1,-0.39444593637469844,0.05984969447794693,0.25,0.5000000000000001
a0604,word identity,10,0.16452724936501834,-0.10361849706146184,40,-0.15128918935395147,0.5864687930536268,0.001953125,0.232421875
a0604,duplet identity,3,0.05925244549522809,0.2085406003801873,0,-0.1910953141458835,-0.09334410673928809,0.25,0.25000000000000006
b0207,ordinal position,8,0.028376508482216047,-0.1494471750356745,41,-0.18500280456335533,0.5206972252850816,0.0078125,0.3822843822843822
b0207,transitional probability,6,-0.03731120441663935,-0.05871565094665092,6,-0.48268014221484573,1.1754243815239045,0.03125,0.43750000000000017
b0207,word identity,8,-0.1494471750356745,0.07941045946660438,9,-0.5877861395991983,0.09875277068166982,0.0078125,0.25000000000000006
b0207,duplet identity,3,-0.46003835906834445,-0.012912154047005112,0,-0.6718856143172729,-0.12546958947959458,0.25,0.25000000000000006
b1111,ordinal position,12,-0.08628556925037009,-0.03946139570339687,62,-0.2594588252911486,0.15398681688764237,4.8828125e-4,0.5898757320213774
b1111,transitional probability,6,-0.03964398348796919,-0.06703220481061574,11,-0.3409344314848852,0.5222679466455936,0.03125,0.9999999999999998
b1111,word identity,12,-0.03946139570339687,0.040779049276608914,33,-0.29974218490665017,0.1556898117093705,4.8828125e-4,0.6772460937500002
b1111,duplet identity,4,0.06473575460664797,-0.023343016112416636,6,-0.2575219745266971,0.5896526454052149,0.125,0.875
b2205,ordinal position,12,-0.09606567379690234,0.10347575014905083,50,-0.479271920540933,0.10246030339866297,4.8828125e-4,0.21892080190639893
b2205,transitional probability,6,0.08092381628476494,-0.07698516111235741,21,0.016660768773714973,0.23045043408872035,0.03125,0.031250000000000014
b2205,word identity,12,0.10347575014905083,0.08954413451808484,42,-0.25929903339888366,0.2717800605950794,4.8828125e-4,0.8500976562500002
b2205,duplet identity,4,0.1072772922685071,-0.09875580824354926,8,-0.129728648697639,0.6051932518985803,0.125,0.375
c0509,ordinal position,12,-0.021098084600915976,0.07326800215288609,63,-0.3271705791541358,0.13774151021972642,4.8828125e-4,0.629725504001988
c0509,transitional probability,6,0.10162873392122282,0.05769386041096761,10,-0.1931648735001342,0.5080274848372193,0.03125,1
c0509,word identity,12,0.07326800215288609,0.07995777224070977,34,-0.34000828113467507,0.29396148239187647,4.8828125e-4,0.7333984375000002
c0509,duplet identity,4,0.1903555462253885,-0.06293866225302039,7,-0.2733408082735533,0.9040438480329749,0.125,0.625
f1001,ordinal position,12,0.01427358738299597,0.018857614812006464,68,-0.28286221128375594,0.3007475823892078,4.8828125e-4,0.8428359902313327
f1001,transitional probability,6,-0.09470556996872623,0.03669689702597488,10,-0.86321782066339,0.15746301564619575,0.03125,1
f1001,word identity,12,0.018857614812006464,0.059092571951190026,35,-0.33976684529590684,0.28985888220964917,4.8828125e-4,0.7910156250000002
f1001,duplet identity,4,-0.11016593523255241,0.06337794781487593,3,-0.6059599452646454,0.174059225747478,0.125,0.625
f1903,ordinal position,12,0.12634701074782123,-0.11556779343084216,106,-0.011063333794379543,0.4639070014846254,4.8828125e-4,0.051864611361178876
f1903,transitional probability,6,0.0345869640593432,0.046464775792983054,10,-0.3565554096560532,0.24355494331632788,0.03125,1
f1903,word identity,12,-0.11556779343084216,-0.10078162948171096,45,-0.2918779327985379,0.22851852968323208,4.8828125e-4,0.6772460937500002
f1903,duplet identity,4,-0.19687935480595056,-0.012985462455836842,0,-0.3408940554068344,-0.052270670760786675,0.125,0.125
g0609,ordinal position,10,0.007318689473315771,0.0029448812580361123,50,-0.48013062912198756,0.44363260747582295,0.001953125,1
g0609,transitional probability,6,-0.02337614818917527,0.09572195407168242,8,-0.8994308395224766,0.8360375531183305,0.03125,0.6875000000000002
g0609,word identity,10,0.0029448812580361123,-0.0149432536283675,30,-0.7408691441084678,0.8321492299002838,0.001953125,0.845703125
g0609,duplet identity,3,0.05526672492207293,0.25813202519263434,2,-0.9907777533205954,0.720866886367606,0.25,0.7500000000000002
g1905,ordinal position,12,-0.0069463354669724985,0.07087014508729467,65,-0.2666462549223504,0.13695745481415517,4.8828125e-4,0.7125350756391273
g1905,transitional probability,6,0.023994115333239734,0.04687788558890276,10,-0.6145581659884443,0.36212904717998706,0.03125,1
g1905,word identity,12,0.07087014508729467,0.05026893499109075,41,-0.33487932199305837,0.3335579111624238,4.8828125e-4,0.9096679687500002
g1905,duplet identity,4,-0.11879789212518127,0.12275485363707549,0,-0.6496319799533264,-0.07416147861054916,0.125,0.125
g2501,ordinal position,12,-0.05889587569609538,-0.05420412876401783,72,-0.4721699311086387,0.5265752537711843,4.8828125e-4,1
g2501,transitional probability,6,0.008827573912722519,-0.09755017263698053,11,-0.4657403742578738,1.2409841931179746,0.03125,0.9999999999999998
g2501,word identity,12,-0.05420412876401783,-0.13988461634683094,45,-0.3950587169521802,0.5778997754170712,4.8828125e-4,0.6772460937500002
g2501,duplet identity,4,-0.26063884402578763,-0.23177428731905106,6,-1.0631988825266843,0.4794563884954016,0.125,0.875
h0207,ordinal position,10,-0.09400583643947245,0.024564283347973635,45,-0.758746235159465,0.46291131083688813,0.001953125,0.7393643508194593
