"test","median","median_of_diff","N","w","CI.low","CI.hi","p","p.round","p.adj"
"triplet position",-0.00274971864267752,-0.00400697412773222,735,5334842910.5,-0.0068525914201686,-0.00111372654030514,0.00681809666066082,0.0068,0.0273
"transitional probability",0.0909429285191859,0.0733511076688461,250,721262654,0.0685463182690391,0.0781779310066626,2.05211266368059e-195,0,0
"word grouping",0.020717890866821,0.0151376887891186,495,2516837350.5,0.0115468989482441,0.0186940984322008,1.06945113737335e-16,0,0
"duplet pairing",0.0379781136119957,0.0304802093043386,329,1147261242,0.0261526446717357,0.03480969658937,2.28969938754219e-43,0,0
