subject,test,n.with,n.accr,median.with,median.accr
r3677,word grouping,12,36,-0.02447142886384406,0.038144323747730545
r3677,duplet pairing,8,12,-0.04325085703512249,0.11954665125444641
v7462,triplet position,18,48,0.03266235158419225,9.658747120516234e-4
v7462,transitional probability,28,6,0.004767643893490718,-0.00489745501690593
v7462,word grouping,12,36,0.016272261623798103,-0.005425513546475421
v7462,duplet pairing,8,12,0.016272261623798103,0.059090330861700235
l1677,triplet position,18,48,-0.041875094721821285,-0.011991248222817729
l1677,transitional probability,28,6,0.05260227354975287,-0.041875094721821285
l1677,word grouping,12,36,0.040932647811557685,-0.05063976141917413
l1677,duplet pairing,8,12,0.10894092508729777,-0.05523084096138855
