"SubjID","Sess","Trial","Target","Total","bw_ramps","ramp_up","ramp_down"
"x0805","struct",4,"ga",18,18,0,0
"x0805","struct",5,"za",18,18,0,0
"x0805","struct",6,"la",18,17,0,1
"x0805","struct",7,"po",18,18,0,0
"x0805","struct",8,"nu",18,18,0,0
"x0805","struct",9,"se",18,18,0,0
"x0805","struct",10,"ro",18,18,0,0
"x0805","struct",11,"tu",18,18,0,0
"x0805","struct",12,"mi",18,18,0,0
"x0805","rand",1,"se",19,17,1,1
"x0805","rand",2,"ro",18,18,0,0
"x0805","rand",3,"di",18,18,0,0
"x0805","rand",4,"ga",18,18,0,0
"x0805","rand",5,"ki",18,17,0,1
"x0805","rand",6,"za",18,18,0,0
"x0805","rand",7,"be",18,18,0,0
"x0805","rand",8,"nu",18,18,0,0
"x0805","rand",9,"la",18,18,0,0
"x0805","rand",10,"po",18,18,0,0
"x0805","rand",11,"tu",18,18,0,0
"x0805","rand",12,"mi",18,18,0,0
"s3165","struct",1,"di",18,18,0,0
"s3165","struct",2,"ki",18,17,0,1
"s3165","struct",3,"be",18,18,0,0
"s3165","struct",4,"ga",18,18,0,0
"s3165","struct",5,"za",18,18,0,0
"s3165","struct",6,"la",18,18,0,0
"s3165","struct",7,"po",18,17,0,1
"s3165","struct",8,"nu",18,17,0,1
"s3165","struct",9,"se",18,18,0,0
"s3165","struct",10,"ro",18,18,0,0
"s3165","struct",11,"tu",18,18,0,0
"s3165","struct",12,"mi",18,18,0,0
"s3165","rand",1,"se",19,17,1,1
"s3165","rand",2,"ro",18,18,0,0
"s3165","rand",3,"di",18,17,0,1
"s3165","rand",4,"ga",18,18,0,0
"s3165","rand",5,"ki",18,18,0,0
"s3165","rand",6,"za",18,17,0,1
"s3165","rand",7,"be",18,18,0,0
"s3165","rand",8,"nu",18,17,0,1
"s3165","rand",9,"la",18,18,0,0
"s3165","rand",10,"po",18,18,0,0
"s3165","rand",11,"tu",18,18,0,0
"s3165","rand",12,"mi",18,18,0,0
"r5762","rand",1,"za",18,18,0,0
"r5762","rand",2,"tu",18,18,0,0
"r5762","rand",3,"ki",18,17,0,1
"r5762","rand",4,"mi",18,18,0,0
"r5762","rand",5,"nu",18,18,0,0
"r5762","rand",6,"be",18,18,0,0
"r5762","rand",7,"di",18,18,0,0
"r5762","rand",8,"se",19,17,1,1
"r5762","rand",9,"po",18,18,0,0
"r5762","rand",10,"la",18,18,0,0
"r5762","rand",11,"ro",18,18,0,0
"r5762","rand",12,"ga",18,18,0,0
"r5762","struct",1,"ga",18,18,0,0
"r5762","struct",2,"ro",18,18,0,0
"r5762","struct",3,"di",18,18,0,0
"r5762","struct",4,"nu",18,18,0,0
"r5762","struct",5,"tu",18,18,0,0
"r5762","struct",6,"be",18,18,0,0
"r5762","struct",7,"mi",18,18,0,0
"r5762","struct",8,"la",18,17,0,1
"r5762","struct",9,"se",18,18,0,0
"r5762","struct",10,"za",18,18,0,0
"r5762","struct",11,"ki",18,18,0,0
"r5762","struct",12,"po",18,18,0,0
"g9126","rand",1,"nu",18,18,0,0
"g9126","rand",2,"ga",18,18,0,0
"g9126","rand",3,"mi",18,18,0,0
"g9126","rand",4,"ro",18,18,0,0
"g9126","rand",5,"za",18,18,0,0
"g9126","rand",6,"di",18,18,0,0
"g9126","rand",7,"se",19,17,1,1
"g9126","rand",8,"ki",18,17,0,1
"g9126","rand",9,"la",18,18,0,0
"g9126","rand",10,"po",18,18,0,0
"g9126","rand",11,"tu",18,18,0,0
"g9126","rand",12,"be",18,18,0,0
"g9126","struct",1,"tu",18,18,0,0
"g9126","struct",2,"di",18,18,0,0
"g9126","struct",3,"nu",18,18,0,0
"g9126","struct",4,"se",18,18,0,0
"g9126","struct",5,"ro",18,18,0,0
"g9126","struct",6,"ki",18,18,0,0
"g9126","struct",7,"po",18,18,0,0
"g9126","struct",8,"ga",18,18,0,0
"g9126","struct",9,"za",18,18,0,0
"g9126","struct",10,"be",18,18,0,0
"g9126","struct",11,"mi",18,18,0,0
"g9126","struct",12,"la",18,17,0,1
"r6364","struct",1,"se",18,18,0,0
"r6364","struct",2,"ro",18,18,0,0
"r6364","struct",3,"be",18,18,0,0
"r6364","struct",4,"mi",18,18,0,0
"r6364","struct",5,"la",18,17,0,1
"r6364","struct",6,"ki",18,18,0,0
"r6364","struct",7,"di",18,18,0,0
"r6364","struct",8,"nu",18,18,0,0
"r6364","struct",9,"ga",18,18,0,0
"r6364","struct",10,"po",18,18,0,0
"r6364","struct",11,"za",18,18,0,0
"r6364","struct",12,"tu",18,18,0,0
"r6364","rand",1,"tu",18,18,0,0
"r6364","rand",2,"ro",18,18,0,0
"r6364","rand",3,"ki",18,17,0,1
"r6364","rand",4,"po",18,18,0,0
"r6364","rand",5,"la",18,18,0,0
"r6364","rand",6,"za",18,18,0,0
"r6364","rand",7,"be",18,18,0,0
"r6364","rand",8,"di",18,18,0,0
"r6364","rand",9,"nu",18,18,0,0
"r6364","rand",10,"mi",18,18,0,0
"r6364","rand",11,"se",19,17,1,1
"r6364","rand",12,"ga",18,18,0,0
"x5767","struct",1,"di",18,18,0,0
"x5767","struct",2,"ki",18,18,0,0
"x5767","struct",3,"be",18,18,0,0
"x5767","struct",4,"ga",18,18,0,0
"x5767","struct",5,"za",18,18,0,0
"x5767","struct",6,"la",18,17,0,1
"x5767","struct",7,"po",18,18,0,0
"x5767","struct",8,"nu",18,18,0,0
"x5767","struct",9,"se",18,18,0,0
"x5767","struct",10,"ro",18,18,0,0
"x5767","struct",11,"tu",18,18,0,0
"x5767","struct",12,"mi",18,18,0,0
"k5002","struct",1,"di",18,18,0,0
"k5002","struct",2,"ki",18,17,0,1
"k5002","struct",3,"be",18,18,0,0
"k5002","struct",4,"ga",18,18,0,0
"k5002","struct",5,"za",18,18,0,0
"k5002","struct",6,"la",18,18,0,0
"k5002","struct",7,"po",18,17,0,1
"k5002","struct",8,"nu",18,17,0,1
"k5002","struct",9,"se",18,18,0,0
"k5002","struct",10,"ro",18,18,0,0
"k5002","struct",11,"tu",18,18,0,0
"k5002","struct",12,"mi",18,18,0,0
"k5002","rand",1,"se",19,17,1,1
"k5002","rand",2,"ro",18,18,0,0
"k5002","rand",3,"di",18,17,0,1
"k5002","rand",4,"ga",18,18,0,0
"k5002","rand",5,"ki",18,18,0,0
"k5002","rand",6,"za",18,17,0,1
"k5002","rand",7,"be",18,18,0,0
"k5002","rand",8,"nu",18,17,0,1
"k5002","rand",9,"la",18,18,0,0
"k5002","rand",10,"po",18,18,0,0
"k5002","rand",11,"tu",18,18,0,0
"k5002","rand",12,"mi",18,18,0,0
"y7212","rand",1,"se",19,17,1,1
"y7212","rand",2,"ro",18,18,0,0
"y7212","rand",3,"di",18,17,0,1
"y7212","rand",4,"ga",18,18,0,0
"y7212","rand",5,"ki",18,18,0,0
"y7212","rand",6,"za",18,17,0,1
"y7212","rand",7,"be",18,18,0,0
"y7212","rand",8,"nu",18,17,0,1
"y7212","rand",9,"la",18,18,0,0
"y7212","rand",10,"po",18,18,0,0
"y7212","rand",11,"tu",18,18,0,0
"y7212","rand",12,"mi",18,18,0,0
"y7212","struct",1,"di",18,18,0,0
"y7212","struct",2,"ki",18,17,0,1
"y7212","struct",3,"be",18,18,0,0
"y7212","struct",4,"ga",18,18,0,0
"y7212","struct",5,"za",18,18,0,0
"y7212","struct",6,"la",18,18,0,0
"y7212","struct",7,"po",18,17,0,1
"y7212","struct",8,"nu",18,17,0,1
"y7212","struct",9,"se",18,18,0,0
"y7212","struct",10,"ro",18,18,0,0
"y7212","struct",11,"tu",18,18,0,0
"y7212","struct",12,"mi",18,18,0,0
"t0056","struct",1,"di",18,18,0,0
"t0056","struct",2,"mi",18,18,0,0
"t0056","struct",3,"za",18,18,0,0
"t0056","struct",4,"se",18,18,0,0
"t0056","struct",5,"nu",18,18,0,0
"t0056","struct",6,"po",18,18,0,0
"t0056","struct",7,"be",18,18,0,0
"t0056","struct",8,"tu",18,18,0,0
"t0056","struct",9,"ki",18,18,0,0
"t0056","struct",10,"ga",18,18,0,0
"t0056","struct",11,"ro",18,18,0,0
"t0056","struct",12,"la",18,17,0,1
"t0056","rand",1,"za",18,18,0,0
"t0056","rand",2,"nu",18,18,0,0
"t0056","rand",3,"ro",18,18,0,0
"t0056","rand",4,"ki",18,17,0,1
"t0056","rand",5,"la",18,18,0,0
"t0056","rand",6,"di",18,18,0,0
"t0056","rand",7,"mi",18,18,0,0
"t0056","rand",8,"ga",18,18,0,0
"t0056","rand",9,"po",18,18,0,0
"t0056","rand",10,"se",19,17,1,1
"t0056","rand",11,"be",18,18,0,0
"t0056","rand",12,"tu",18,18,0,0
"h4610","rand",1,"se",19,17,1,1
"h4610","rand",2,"ro",18,18,0,0
"h4610","rand",3,"di",18,17,0,1
"h4610","rand",4,"ga",18,18,0,0
"h4610","rand",5,"ki",18,18,0,0
"h4610","rand",6,"za",18,17,0,1
"h4610","rand",7,"be",18,18,0,0
"h4610","rand",8,"nu",18,17,0,1
"h4610","rand",9,"la",18,18,0,0
"h4610","rand",10,"po",18,18,0,0
"h4610","rand",11,"tu",18,18,0,0
"h4610","rand",12,"mi",18,18,0,0
"h4610","struct",1,"di",18,18,0,0
"h4610","struct",2,"ki",18,17,0,1
"h4610","struct",3,"be",18,18,0,0
"h4610","struct",4,"ga",18,18,0,0
"h4610","struct",5,"za",18,18,0,0
"h4610","struct",6,"la",18,18,0,0
"h4610","struct",7,"po",18,17,0,1
"h4610","struct",8,"nu",18,17,0,1
"h4610","struct",9,"se",18,18,0,0
"h4610","struct",10,"ro",18,18,0,0
"h4610","struct",11,"tu",18,18,0,0
"h4610","struct",12,"mi",18,18,0,0
"l6268","rand",1,"se",19,17,1,1
"l6268","rand",2,"ro",18,18,0,0
"l6268","rand",3,"di",18,17,0,1
"l6268","rand",4,"ga",18,18,0,0
"l6268","rand",5,"ki",18,18,0,0
"l6268","rand",6,"za",18,17,0,1
"l6268","rand",7,"be",18,18,0,0
"l6268","rand",8,"nu",18,17,0,1
"l6268","rand",9,"la",18,18,0,0
"l6268","rand",10,"po",18,18,0,0
"l6268","rand",11,"tu",18,18,0,0
"l6268","rand",12,"mi",18,18,0,0
"l6268","struct",1,"di",18,18,0,0
"l6268","struct",2,"ki",18,17,0,1
"l6268","struct",3,"be",18,18,0,0
"l6268","struct",4,"ga",18,18,0,0
"l6268","struct",5,"za",18,18,0,0
"l6268","struct",6,"la",18,18,0,0
"l6268","struct",7,"po",18,17,0,1
"l6268","struct",8,"nu",18,17,0,1
"l6268","struct",9,"se",18,18,0,0
"l6268","struct",10,"ro",18,18,0,0
"l6268","struct",11,"tu",18,18,0,0
"l6268","struct",12,"mi",18,18,0,0
"n4711","rand",1,"se",19,17,1,1
"n4711","rand",2,"nu",18,18,0,0
