"subject","cond_order","sess","block","trial","target_num","target","tgt_word","tgt_pos","rt","rt_secs","exp"
"m0085",NA,NA,2,5,8,"se","2","3",404,0.404,"exp 3"
"m0085",NA,NA,2,5,9,"se","2","3",382,0.382,"exp 3"
"m0085",NA,NA,2,5,10,"se","2","3",667.799999999988,0.667799999999988,"exp 3"
"m0085",NA,NA,2,5,11,"se","2","3",311.700000000012,0.311700000000012,"exp 3"
"m0085",NA,NA,2,5,12,"se","2","3",491.799999999988,0.491799999999988,"exp 3"
"m0085",NA,NA,2,5,13,"se","2","3",417.699999999953,0.417699999999953,"exp 3"
"m0085",NA,NA,2,5,14,"se","2","3",419.5,0.4195,"exp 3"
"m0085",NA,NA,2,5,15,"se","2","3",817.299999999988,0.817299999999988,"exp 3"
"m0085",NA,NA,2,5,16,"se","2","3",863.299999999988,0.863299999999988,"exp 3"
"m0085",NA,NA,2,5,17,"se","2","3",619.200000000012,0.619200000000012,"exp 3"
"m0085",NA,NA,2,5,18,"se","2","3",NA,NA,"exp 3"
"m0085",NA,NA,2,6,1,"za","4","1",660.799999999988,0.660799999999988,"exp 3"
"m0085",NA,NA,2,6,2,"za","4","1",760.799999999988,0.760799999999988,"exp 3"
"m0085",NA,NA,2,6,3,"za","4","1",606.799999999988,0.606799999999988,"exp 3"
"m0085",NA,NA,2,6,4,"za","4","1",852.700000000012,0.852700000000012,"exp 3"
"m0085",NA,NA,2,6,5,"za","4","1",488.599999999977,0.488599999999977,"exp 3"
"m0085",NA,NA,2,6,6,"za","4","1",808.599999999977,0.808599999999977,"exp 3"
"m0085",NA,NA,2,6,7,"za","4","1",598.299999999988,0.598299999999988,"exp 3"
"m0085",NA,NA,2,6,8,"za","4","1",572.199999999953,0.572199999999953,"exp 3"
"m0085",NA,NA,2,6,9,"za","4","1",700.200000000012,0.700200000000012,"exp 3"
"m0085",NA,NA,2,6,10,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,2,6,11,"za","4","1",630,0.63,"exp 3"
"m0085",NA,NA,2,6,12,"za","4","1",545.900000000023,0.545900000000023,"exp 3"
"m0085",NA,NA,2,6,13,"za","4","1",509.900000000023,0.509900000000023,"exp 3"
"m0085",NA,NA,2,6,14,"za","4","1",615.799999999988,0.615799999999988,"exp 3"
"m0085",NA,NA,2,6,15,"za","4","1",685.700000000012,0.685700000000012,"exp 3"
"m0085",NA,NA,2,6,16,"za","4","1",647.599999999977,0.647599999999977,"exp 3"
"m0085",NA,NA,2,6,17,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,2,6,18,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,7,1,"la","3","3",NA,NA,"exp 3"
"m0085",NA,NA,3,7,2,"la","3","3",469.099999999977,0.469099999999977,"exp 3"
"m0085",NA,NA,3,7,3,"la","3","3",713,0.713,"exp 3"
"m0085",NA,NA,3,7,4,"la","3","3",405.099999999977,0.405099999999977,"exp 3"
"m0085",NA,NA,3,7,5,"la","3","3",562.899999999965,0.562899999999965,"exp 3"
"m0085",NA,NA,3,7,6,"la","3","3",738.700000000012,0.738700000000012,"exp 3"
"m0085",NA,NA,3,7,7,"la","3","3",NA,NA,"exp 3"
"m0085",NA,NA,3,7,9,"la","3","3",618.400000000023,0.618400000000023,"exp 3"
"m0085",NA,NA,3,7,10,"la","3","3",NA,NA,"exp 3"
"m0085",NA,NA,3,7,11,"la","3","3",496.299999999988,0.496299999999988,"exp 3"
"m0085",NA,NA,3,7,12,"la","3","3",652.299999999988,0.652299999999988,"exp 3"
"m0085",NA,NA,3,7,13,"la","3","3",584.200000000012,0.584200000000012,"exp 3"
"m0085",NA,NA,3,7,14,"la","3","3",NA,NA,"exp 3"
"m0085",NA,NA,3,7,15,"la","3","3",NA,NA,"exp 3"
"m0085",NA,NA,3,7,16,"la","3","3",648,0.648,"exp 3"
"m0085",NA,NA,3,7,17,"la","3","3",625.799999999988,0.625799999999988,"exp 3"
"m0085",NA,NA,3,7,18,"la","3","3",NA,NA,"exp 3"
"m0085",NA,NA,3,8,1,"ga","1","2",527.599999999977,0.527599999999977,"exp 3"
"m0085",NA,NA,3,8,2,"ga","1","2",NA,NA,"exp 3"
"m0085",NA,NA,3,8,3,"ga","1","2",785.399999999965,0.785399999999965,"exp 3"
"m0085",NA,NA,3,8,4,"ga","1","2",923.199999999953,0.923199999999953,"exp 3"
"m0085",NA,NA,3,8,5,"ga","1","2",NA,NA,"exp 3"
"m0085",NA,NA,3,8,6,"ga","1","2",845,0.845,"exp 3"
"m0085",NA,NA,3,8,7,"ga","1","2",341.099999999977,0.341099999999977,"exp 3"
"m0085",NA,NA,3,8,8,"ga","1","2",513,0.513,"exp 3"
"m0085",NA,NA,3,8,9,"ga","1","2",416.900000000023,0.416900000000023,"exp 3"
"m0085",NA,NA,3,8,10,"ga","1","2",NA,NA,"exp 3"
"m0085",NA,NA,3,8,11,"ga","1","2",NA,NA,"exp 3"
"m0085",NA,NA,3,8,12,"ga","1","2",386.599999999977,0.386599999999977,"exp 3"
"m0085",NA,NA,3,8,13,"ga","1","2",466.5,0.4665,"exp 3"
"m0085",NA,NA,3,8,15,"ga","1","2",702.29999999993,0.70229999999993,"exp 3"
"m0085",NA,NA,3,8,16,"ga","1","2",452.29999999993,0.45229999999993,"exp 3"
"m0085",NA,NA,3,8,17,"ga","1","2",336.099999999977,0.336099999999977,"exp 3"
"m0085",NA,NA,3,8,18,"ga","1","2",528.199999999953,0.528199999999953,"exp 3"
"m0085",NA,NA,3,9,1,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,2,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,3,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,4,"za","4","1",879.599999999977,0.879599999999977,"exp 3"
"m0085",NA,NA,3,9,5,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,6,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,7,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,8,"za","4","1",761.29999999993,0.76129999999993,"exp 3"
"m0085",NA,NA,3,9,9,"za","4","1",343.199999999953,0.343199999999953,"exp 3"
"m0085",NA,NA,3,9,10,"za","4","1",691.099999999977,0.691099999999977,"exp 3"
"m0085",NA,NA,3,9,11,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,12,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,13,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,14,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,15,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,16,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,17,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,3,9,18,"za","4","1",NA,NA,"exp 3"
"m0085",NA,NA,4,10,1,"nu","1","1",502.20000000007,0.50220000000007,"exp 3"
"m0085",NA,NA,4,10,2,"nu","1","1",436.099999999977,0.436099999999977,"exp 3"
"m0085",NA,NA,4,10,3,"nu","1","1",872.099999999977,0.872099999999977,"exp 3"
"m0085",NA,NA,4,10,4,"nu","1","1",469.899999999907,0.469899999999907,"exp 3"
"m0085",NA,NA,4,10,5,"nu","1","1",421.79999999993,0.42179999999993,"exp 3"
"m0085",NA,NA,4,10,6,"nu","1","1",569.79999999993,0.56979999999993,"exp 3"
"m0085",NA,NA,4,10,7,"nu","1","1",513.900000000023,0.513900000000023,"exp 3"
"m0085",NA,NA,4,10,8,"nu","1","1",399.5,0.3995,"exp 3"
"m0085",NA,NA,4,10,9,"nu","1","1",459.5,0.4595,"exp 3"
"m0085",NA,NA,4,10,10,"nu","1","1",729.399999999907,0.729399999999907,"exp 3"
"m0085",NA,NA,4,10,11,"nu","1","1",509.29999999993,0.50929999999993,"exp 3"
"m0085",NA,NA,4,10,12,"nu","1","1",499.29999999993,0.49929999999993,"exp 3"
"m0085",NA,NA,4,10,13,"nu","1","1",551.29999999993,0.55129999999993,"exp 3"
"m0085",NA,NA,4,10,14,"nu","1","1",475.199999999953,0.475199999999953,"exp 3"
"m0085",NA,NA,4,10,15,"nu","1","1",NA,NA,"exp 3"
"m0085",NA,NA,4,10,16,"nu","1","1",510.899999999907,0.510899999999907,"exp 3"
"m0085",NA,NA,4,10,17,"nu","1","1",574.899999999907,0.574899999999907,"exp 3"
"m0085",NA,NA,4,10,18,"nu","1","1",NA,NA,"exp 3"
"m0085",NA,NA,4,11,1,"tu","4","3",326.399999999907,0.326399999999907,"exp 3"
"m0085",NA,NA,4,11,2,"tu","4","3",350.29999999993,0.35029999999993,"exp 3"
"m0085",NA,NA,4,11,3,"tu","4","3",332.400000000023,0.332400000000023,"exp 3"
"m0085",NA,NA,4,11,4,"tu","4","3",396.199999999953,0.396199999999953,"exp 3"
"m0085",NA,NA,4,11,5,"tu","4","3",626,0.626,"exp 3"
"m0085",NA,NA,4,11,6,"tu","4","3",462,0.462,"exp 3"
"m0085",NA,NA,4,11,7,"tu","4","3",347.899999999907,0.347899999999907,"exp 3"
"m0085",NA,NA,4,11,8,"tu","4","3",309.899999999907,0.309899999999907,"exp 3"
"m0085",NA,NA,4,11,9,"tu","4","3",529.900000000023,0.529900000000023,"exp 3"
"m0085",NA,NA,4,11,10,"tu","4","3",393.800000000047,0.393800000000047,"exp 3"
"m0085",NA,NA,4,11,11,"tu","4","3",757.79999999993,0.75779999999993,"exp 3"
"m0085",NA,NA,4,11,12,"tu","4","3",433.599999999977,0.433599999999977,"exp 3"
"m0085",NA,NA,4,11,13,"tu","4","3",693.599999999977,0.693599999999977,"exp 3"
"m0085",NA,NA,4,11,15,"tu","4","3",633.599999999977,0.633599999999977,"exp 3"
"m0085",NA,NA,4,11,16,"tu","4","3",933.199999999953,0.933199999999953,"exp 3"
"m0085",NA,NA,4,11,17,"tu","4","3",381.099999999977,0.381099999999977,"exp 3"
"m0085",NA,NA,4,11,18,"tu","4","3",379.099999999977,0.379099999999977,"exp 3"
"m0085",NA,NA,4,12,1,"po","3","2",414.699999999953,0.414699999999953,"exp 3"
"m0085",NA,NA,4,12,2,"po","3","2",426.900000000023,0.426900000000023,"exp 3"
"m0085",NA,NA,4,12,3,"po","3","2",496.699999999953,0.496699999999953,"exp 3"
"m0085",NA,NA,4,12,4,"po","3","2",430.599999999977,0.430599999999977,"exp 3"
"m0085",NA,NA,4,12,5,"po","3","2",634.599999999977,0.634599999999977,"exp 3"
"m0085",NA,NA,4,12,6,"po","3","2",524.5,0.5245,"exp 3"
"m0085",NA,NA,4,12,7,"po","3","2",NA,NA,"exp 3"
"m0085",NA,NA,4,12,8,"po","3","2",NA,NA,"exp 3"
"m0085",NA,NA,4,12,9,"po","3","2",586.300000000047,0.586300000000047,"exp 3"
"m0085",NA,NA,4,12,10,"po","3","2",450.20000000007,0.45020000000007,"exp 3"
"m0085",NA,NA,4,12,11,"po","3","2",780.100000000093,0.780100000000093,"exp 3"
"m0085",NA,NA,4,12,12,"po","3","2",NA,NA,"exp 3"
"m0085",NA,NA,4,12,13,"po","3","2",669.900000000023,0.669900000000023,"exp 3"
"m0085",NA,NA,4,12,14,"po","3","2",609.79999999993,0.60979999999993,"exp 3"
"m0085",NA,NA,4,12,15,"po","3","2",637.699999999953,0.637699999999953,"exp 3"
"m0085",NA,NA,4,12,16,"po","3","2",737.599999999977,0.737599999999977,"exp 3"
"m0085",NA,NA,4,12,17,"po","3","2",585.600000000093,0.585600000000093,"exp 3"
"m0085",NA,NA,4,12,18,"po","3","2",629.5,0.6295,"exp 3"
"m0085",NA,NA,5,13,1,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,13,2,"ro","2","1",608.900000000023,0.608900000000023,"exp 3"
"m0085",NA,NA,5,13,3,"ro","2","1",836.79999999993,0.83679999999993,"exp 3"
"m0085",NA,NA,5,13,4,"ro","2","1",758.800000000047,0.758800000000047,"exp 3"
"m0085",NA,NA,5,13,6,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,13,7,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,13,8,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,13,9,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,13,10,"ro","2","1",654.300000000047,0.654300000000047,"exp 3"
"m0085",NA,NA,5,13,11,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,13,12,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,13,13,"ro","2","1",52.2000000000698,0.0522000000000698,"exp 3"
"m0085",NA,NA,5,13,14,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,13,15,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,13,16,"ro","2","1",643.900000000023,0.643900000000023,"exp 3"
"m0085",NA,NA,5,13,18,"ro","2","1",NA,NA,"exp 3"
"m0085",NA,NA,5,14,1,"se","2","3",617.600000000093,0.617600000000093,"exp 3"
"m0085",NA,NA,5,14,2,"se","2","3",659.5,0.6595,"exp 3"
"m0085",NA,NA,5,14,3,"se","2","3",535.29999999993,0.53529999999993,"exp 3"
"m0085",NA,NA,5,14,4,"se","2","3",381.400000000023,0.381400000000023,"exp 3"
"m0085",NA,NA,5,14,5,"se","2","3",581.20000000007,0.58120000000007,"exp 3"
"m0085",NA,NA,5,14,6,"se","2","3",323.100000000093,0.323100000000093,"exp 3"
"m0085",NA,NA,5,14,7,"se","2","3",431.100000000093,0.431100000000093,"exp 3"
"m0085",NA,NA,5,14,8,"se","2","3",400.900000000023,0.400900000000023,"exp 3"
"m0085",NA,NA,5,14,9,"se","2","3",396.800000000047,0.396800000000047,"exp 3"
"m0085",NA,NA,5,14,10,"se","2","3",566.70000000007,0.56670000000007,"exp 3"
"m0085",NA,NA,5,14,11,"se","2","3",602.800000000047,0.602800000000047,"exp 3"
"m0085",NA,NA,5,14,12,"se","2","3",422.600000000093,0.422600000000093,"exp 3"
"m0085",NA,NA,5,14,13,"se","2","3",930.400000000023,0.930400000000023,"exp 3"
"m0085",NA,NA,5,14,14,"se","2","3",534.400000000023,0.534400000000023,"exp 3"
"m0085",NA,NA,5,14,15,"se","2","3",644.300000000047,0.644300000000047,"exp 3"
"m0085",NA,NA,5,14,16,"se","2","3",450.300000000047,0.450300000000047,"exp 3"
"m0085",NA,NA,5,14,17,"se","2","3",392.300000000047,0.392300000000047,"exp 3"
"m0085",NA,NA,5,14,18,"se","2","3",326.100000000093,0.326100000000093,"exp 3"
"m0085",NA,NA,5,15,1,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,2,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,3,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,4,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,5,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,6,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,7,"be","4","2",431.20000000007,0.43120000000007,"exp 3"
"m0085",NA,NA,5,15,9,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,10,"be","4","2",413,0.413,"exp 3"
"m0085",NA,NA,5,15,11,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,13,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,15,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,5,15,17,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,6,16,1,"ki","2","2",488,0.488,"exp 3"
"m0085",NA,NA,6,16,2,"ki","2","2",587.900000000023,0.587900000000023,"exp 3"
"m0085",NA,NA,6,16,3,"ki","2","2",391.800000000047,0.391800000000047,"exp 3"
"m0085",NA,NA,6,16,4,"ki","2","2",599.70000000007,0.59970000000007,"exp 3"
"m0085",NA,NA,6,16,5,"ki","2","2",423.599999999977,0.423599999999977,"exp 3"
"m0085",NA,NA,6,16,6,"ki","2","2",427.5,0.4275,"exp 3"
"m0085",NA,NA,6,16,7,"ki","2","2",407.400000000023,0.407400000000023,"exp 3"
"m0085",NA,NA,6,16,8,"ki","2","2",NA,NA,"exp 3"
"m0085",NA,NA,6,16,9,"ki","2","2",559.300000000047,0.559300000000047,"exp 3"
"m0085",NA,NA,6,16,10,"ki","2","2",663.20000000007,0.66320000000007,"exp 3"
"m0085",NA,NA,6,16,11,"ki","2","2",423.100000000093,0.423100000000093,"exp 3"
"m0085",NA,NA,6,16,12,"ki","2","2",576.90000000014,0.57690000000014,"exp 3"
"m0085",NA,NA,6,16,13,"ki","2","2",452.90000000014,0.45290000000014,"exp 3"
"m0085",NA,NA,6,16,14,"ki","2","2",470.699999999953,0.470699999999953,"exp 3"
"m0085",NA,NA,6,16,15,"ki","2","2",466.699999999953,0.466699999999953,"exp 3"
"m0085",NA,NA,6,16,16,"ki","2","2",374.699999999953,0.374699999999953,"exp 3"
"m0085",NA,NA,6,16,17,"ki","2","2",748.600000000093,0.748600000000093,"exp 3"
"m0085",NA,NA,6,16,18,"ki","2","2",480.5,0.4805,"exp 3"
"m0085",NA,NA,6,17,1,"di","1","3",696.299999999814,0.696299999999814,"exp 3"
"m0085",NA,NA,6,17,2,"di","1","3",696.299999999814,0.696299999999814,"exp 3"
"m0085",NA,NA,6,17,3,"di","1","3",462.199999999953,0.462199999999953,"exp 3"
"m0085",NA,NA,6,17,4,"di","1","3",348.100000000093,0.348100000000093,"exp 3"
"m0085",NA,NA,6,17,5,"di","1","3",422,0.422,"exp 3"
"m0085",NA,NA,6,17,6,"di","1","3",581.90000000014,0.58190000000014,"exp 3"
"m0085",NA,NA,6,17,7,"di","1","3",379.90000000014,0.37990000000014,"exp 3"
"m0085",NA,NA,6,17,8,"di","1","3",NA,NA,"exp 3"
"m0085",NA,NA,6,17,9,"di","1","3",487.699999999953,0.487699999999953,"exp 3"
"m0085",NA,NA,6,17,10,"di","1","3",395.699999999953,0.395699999999953,"exp 3"
"m0085",NA,NA,6,17,11,"di","1","3",497.399999999907,0.497399999999907,"exp 3"
"m0085",NA,NA,6,17,12,"di","1","3",341.199999999953,0.341199999999953,"exp 3"
"m0085",NA,NA,6,17,13,"di","1","3",525.199999999953,0.525199999999953,"exp 3"
"m0085",NA,NA,6,17,14,"di","1","3",321.199999999953,0.321199999999953,"exp 3"
"m0085",NA,NA,6,17,15,"di","1","3",619.199999999953,0.619199999999953,"exp 3"
"m0085",NA,NA,6,17,16,"di","1","3",459.100000000093,0.459100000000093,"exp 3"
"m0085",NA,NA,6,17,17,"di","1","3",385.09999999986,0.38509999999986,"exp 3"
"m0085",NA,NA,6,17,18,"di","1","3",430.899999999907,0.430899999999907,"exp 3"
"m0085",NA,NA,6,18,1,"mi","3","1",518.59999999986,0.51859999999986,"exp 3"
"m0085",NA,NA,6,18,2,"mi","3","1",558.59999999986,0.55859999999986,"exp 3"
"m0085",NA,NA,6,18,3,"mi","3","1",418.40000000014,0.41840000000014,"exp 3"
"m0085",NA,NA,6,18,4,"mi","3","1",488.399999999907,0.488399999999907,"exp 3"
"m0085",NA,NA,6,18,6,"mi","3","1",906.299999999814,0.906299999999814,"exp 3"
"m0085",NA,NA,6,18,7,"mi","3","1",490.100000000093,0.490100000000093,"exp 3"
"m0085",NA,NA,6,18,8,"mi","3","1",716.199999999953,0.716199999999953,"exp 3"
"m0085",NA,NA,6,18,9,"mi","3","1",NA,NA,"exp 3"
"m0085",NA,NA,6,18,10,"mi","3","1",NA,NA,"exp 3"
"m0085",NA,NA,6,18,11,"mi","3","1",NA,NA,"exp 3"
"m0085",NA,NA,6,18,12,"mi","3","1",472,0.472,"exp 3"
"m0085",NA,NA,6,18,13,"mi","3","1",557.699999999953,0.557699999999953,"exp 3"
"m0085",NA,NA,6,18,14,"mi","3","1",611.699999999953,0.611699999999953,"exp 3"
"m0085",NA,NA,6,18,15,"mi","3","1",527.699999999953,0.527699999999953,"exp 3"
"m0085",NA,NA,6,18,16,"mi","3","1",539.5,0.5395,"exp 3"
"m0085",NA,NA,6,18,17,"mi","3","1",619.5,0.6195,"exp 3"
"m0085",NA,NA,6,18,18,"mi","3","1",495.40000000014,0.49540000000014,"exp 3"
"m0085",NA,NA,7,19,1,"di","1","3",437.09999999986,0.43709999999986,"exp 3"
"m0085",NA,NA,7,19,2,"di","1","3",377.09999999986,0.37709999999986,"exp 3"
"m0085",NA,NA,7,19,3,"di","1","3",392.799999999814,0.392799999999814,"exp 3"
"m0085",NA,NA,7,19,4,"di","1","3",488.699999999953,0.488699999999953,"exp 3"
"m0085",NA,NA,7,19,5,"di","1","3",NA,NA,"exp 3"
"m0085",NA,NA,7,19,6,"di","1","3",410.59999999986,0.41059999999986,"exp 3"
"m0085",NA,NA,7,19,7,"di","1","3",314.5,0.3145,"exp 3"
"m0085",NA,NA,7,19,8,"di","1","3",NA,NA,"exp 3"
"m0085",NA,NA,7,19,9,"di","1","3",746.399999999907,0.746399999999907,"exp 3"
"m0085",NA,NA,7,19,10,"di","1","3",434.399999999907,0.434399999999907,"exp 3"
"m0085",NA,NA,7,19,11,"di","1","3",NA,NA,"exp 3"
"m0085",NA,NA,7,19,12,"di","1","3",564.09999999986,0.56409999999986,"exp 3"
"m0085",NA,NA,7,19,13,"di","1","3",NA,NA,"exp 3"
