"test","mean","w","CI.low","CI.hi","p"
"ordinal position",0.0444289883902908,4409500990,0.0257551784363515,0.0333629281705791,4.66579915828226e-63
"transitional probability",0.0569829676456095,1187899772,0.0534506187989528,0.0631756883811944,1.03668705131449e-110
"word identity",-0.00320588301086493,4205076164,-0.00381285054410833,4.22138451526159e-05,0.25441803146892
"duplets",0.0451498734466083,461131530.5,-0.015150780021998,-0.00357559805572752,0.000395396894122654
