"subject","block","trial","target_num","target","tgt_word","tgt_pos","detect","rt","rt_secs","rt_sc"
"m0085",2,5,7,"se",2,3,1,552.099999999977,0.552099999999977,0.530730619734948
"m0085",2,5,8,"se",2,3,1,404,0.404,-0.329132096612266
"m0085",2,5,9,"se",2,3,1,382,0.382,-0.456863222605795
"m0085",2,5,10,"se",2,3,1,667.799999999988,0.667799999999988,1.20248022325553
"m0085",2,5,11,"se",2,3,1,311.700000000012,0.311700000000012,-0.865022229757775
"m0085",2,5,12,"se",2,3,1,491.799999999988,0.491799999999988,0.180631215307294
"m0085",2,5,13,"se",2,3,1,417.699999999953,0.417699999999953,-0.249590440880205
"m0085",2,5,14,"se",2,3,1,419.5,0.4195,-0.239139712389552
"m0085",2,5,15,"se",2,3,1,817.299999999988,0.817299999999988,2.07047128398428
"m0085",2,5,16,"se",2,3,1,863.299999999988,0.863299999999988,2.3375454565162
"m0085",2,5,17,"se",2,3,1,619.200000000012,0.619200000000012,0.920310554015415
"m0085",2,5,18,"se",2,3,0,NA,NA,NA
"m0085",2,6,1,"za",4,1,1,660.799999999988,0.660799999999988,1.16183850134849
"m0085",2,6,2,"za",4,1,1,760.799999999988,0.760799999999988,1.74243452859181
"m0085",2,6,3,"za",4,1,1,606.799999999988,0.606799999999988,0.848316646637105
"m0085",2,6,4,"za",4,1,1,852.700000000012,0.852700000000012,2.27600227762855
"m0085",2,6,5,"za",4,1,1,488.599999999977,0.488599999999977,0.162052142435444
"m0085",2,6,6,"za",4,1,1,808.599999999977,0.808599999999977,2.01995942961405
"m0085",2,6,7,"za",4,1,1,598.299999999988,0.598299999999988,0.798965984321423
"m0085",2,6,8,"za",4,1,1,572.199999999953,0.572199999999953,0.647430421210715
"m0085",2,6,9,"za",4,1,1,700.200000000012,0.700200000000012,1.3905933360825
"m0085",2,6,10,"za",4,1,0,NA,NA,NA
"m0085",2,6,11,"za",4,1,1,630,0.63,0.983014924957623
"m0085",2,6,12,"za",4,1,1,545.900000000023,0.545900000000023,0.49473366604613
"m0085",2,6,13,"za",4,1,1,509.900000000023,0.509900000000023,0.285719096238537
"m0085",2,6,14,"za",4,1,1,615.799999999988,0.615799999999988,0.900570289089003
"m0085",2,6,15,"za",4,1,1,685.700000000012,0.685700000000012,1.30640691213222
"m0085",2,6,16,"za",4,1,1,647.599999999977,0.647599999999977,1.08519982575231
"m0085",2,6,17,"za",4,1,0,NA,NA,NA
"m0085",2,6,18,"za",4,1,0,NA,NA,NA
"m0085",3,7,1,"la",3,3,0,NA,NA,NA
"m0085",3,7,2,"la",3,3,1,469.099999999977,0.469099999999977,0.0488359171229977
"m0085",3,7,3,"la",3,3,1,713,0.713,1.46490962756957
"m0085",3,7,4,"la",3,3,1,405.099999999977,0.405099999999977,-0.322745540312723
"m0085",3,7,5,"la",3,3,1,562.899999999965,0.562899999999965,0.593434990677156
"m0085",3,7,6,"la",3,3,1,738.700000000012,0.738700000000012,1.61412280657118
"m0085",3,7,7,"la",3,3,0,NA,NA,NA
"m0085",3,7,9,"la",3,3,1,618.400000000023,0.618400000000023,0.915665785797533
"m0085",3,7,10,"la",3,3,0,NA,NA,NA
"m0085",3,7,11,"la",3,3,1,496.299999999988,0.496299999999988,0.206758036533243
"m0085",3,7,12,"la",3,3,1,652.299999999988,0.652299999999988,1.11248783903281
"m0085",3,7,13,"la",3,3,1,584.200000000012,0.584200000000012,0.717101944480255
"m0085",3,7,14,"la",3,3,0,NA,NA,NA
"m0085",3,7,15,"la",3,3,0,NA,NA,NA
"m0085",3,7,16,"la",3,3,1,648,0.648,1.08752220986142
"m0085",3,7,17,"la",3,3,1,625.799999999988,0.625799999999988,0.958629891813334
"m0085",3,7,18,"la",3,3,0,NA,NA,NA
"m0085",3,8,1,"ga",1,2,1,527.599999999977,0.527599999999977,0.388484593060336
"m0085",3,8,2,"ga",1,2,0,NA,NA,NA
"m0085",3,8,3,"ga",1,2,1,785.399999999965,0.785399999999965,1.88526115129353
"m0085",3,8,4,"ga",1,2,1,923.199999999953,0.923199999999953,2.68532247683475
"m0085",3,8,5,"ga",1,2,0,NA,NA,NA
"m0085",3,8,6,"ga",1,2,1,845,0.845,2.23129638353075
"m0085",3,8,7,"ga",1,2,1,341.099999999977,0.341099999999977,-0.694326997748444
"m0085",3,8,8,"ga",1,2,1,513,0.513,0.303717573082946
"m0085",3,8,9,"ga",1,2,1,416.900000000023,0.416900000000023,-0.254235209097745
"m0085",3,8,10,"ga",1,2,0,NA,NA,NA
"m0085",3,8,11,"ga",1,2,0,NA,NA,NA
"m0085",3,8,12,"ga",1,2,1,386.599999999977,0.386599999999977,-0.430155805352736
"m0085",3,8,13,"ga",1,2,1,466.5,0.4665,0.0337404204148051
"m0085",3,8,15,"ga",1,2,1,702.29999999993,0.70229999999993,1.40278585265413
"m0085",3,8,16,"ga",1,2,1,452.29999999993,0.45229999999993,-0.048704215454152
"m0085",3,8,17,"ga",1,2,1,336.099999999977,0.336099999999977,-0.72335679911061
"m0085",3,8,18,"ga",1,2,1,528.199999999953,0.528199999999953,0.391968169223657
"m0085",3,9,1,"za",4,1,0,NA,NA,NA
