subject,block,targets,n_responses,accuracy,precision,hits,misses,false_positives
5,24,18,19,0.777777777777778,0.933333333333333,14,4,1
6,1,18,18,0,NaN,0,18,0
6,2,18,18,0,NaN,0,18,0
6,3,18,18,0,NaN,0,18,0
6,4,18,18,0,NaN,0,18,0
6,5,18,18,0,NaN,0,18,0
6,6,18,18,0,NaN,0,18,0
6,7,18,18,0,NaN,0,18,0
6,8,18,18,0,NaN,0,18,0
6,9,18,18,0,NaN,0,18,0
6,10,18,18,0,NaN,0,18,0
6,11,18,18,0,NaN,0,18,0
6,12,18,18,0,NaN,0,18,0
6,13,18,18,0,NaN,0,18,0
6,14,18,18,0,NaN,0,18,0
6,15,18,18,0,NaN,0,18,0
6,16,18,18,0,NaN,0,18,0
6,17,18,18,0,NaN,0,18,0
6,18,18,18,0,NaN,0,18,0
6,19,18,18,0,NaN,0,18,0
6,20,18,18,0,NaN,0,18,0
6,21,18,18,0,NaN,0,18,0
6,22,18,18,0,NaN,0,18,0
6,23,18,18,0,NaN,0,18,0
6,24,18,18,0,NaN,0,18,0
7,1,18,18,0.944444444444444,1,17,1,0
7,2,18,20,0.888888888888889,0.888888888888889,16,2,2
7,3,18,25,0.388888888888889,0.5,7,11,7
7,4,18,19,0.944444444444444,0.944444444444444,17,1,1
7,5,18,20,0.888888888888889,0.888888888888889,16,2,2
7,6,18,18,0.833333333333333,1,15,3,0
7,7,18,29,0.388888888888889,0.388888888888889,7,11,11
7,8,18,27,0.444444444444444,0.470588235294118,8,10,9
7,9,18,19,1,0.947368421052632,18,0,1
7,10,18,18,0.5,1,9,9,0
7,11,18,18,0.888888888888889,1,16,2,0
7,12,18,19,1,0.947368421052632,18,0,1
7,13,18,18,0.722222222222222,1,13,5,0
7,14,18,18,1,1,18,0,0
7,15,18,18,0.722222222222222,1,13,5,0
7,16,18,18,0.944444444444444,1,17,1,0
7,17,18,18,0.388888888888889,1,7,11,0
7,18,18,18,0.722222222222222,1,13,5,0
7,19,18,19,0.722222222222222,0.928571428571429,13,5,1
7,20,18,19,0.944444444444444,0.944444444444444,17,1,1
7,21,18,30,0.333333333333333,0.333333333333333,6,12,12
