"subject","block","trial","target_num","stream_pos","target","tgt_word","tgt_pos","detect","rt","rt_secs","rt_sc"
"m0085",2,5,4,42,"se",2,3,1,438.400000000023,0.438400000000023,-0.0990537678680217
"m0085",2,5,5,51,"se",2,3,1,372.200000000012,0.372200000000012,-0.486637407274823
"m0085",2,5,6,69,"se",2,3,1,328.200000000012,0.328200000000012,-0.744245868511929
"m0085",2,5,7,81,"se",2,3,1,552.099999999977,0.552099999999977,0.566629914919412
"m0085",2,5,8,87,"se",2,3,1,404,0.404,-0.30045674665353
"m0085",2,5,9,102,"se",2,3,1,382,0.382,-0.429260977272083
"m0085",2,5,10,111,"se",2,3,1,667.799999999988,0.667799999999988,1.24402307321796
"m0085",2,5,11,129,"se",2,3,1,311.700000000012,0.311700000000012,-0.840849041475844
"m0085",2,5,12,135,"se",2,3,1,491.799999999988,0.491799999999988,0.213589228269534
"m0085",2,5,13,156,"se",2,3,1,417.699999999953,0.417699999999953,-0.220246839404979
"m0085",2,5,14,171,"se",2,3,1,419.5,0.4195,-0.209708311445004
"m0085",2,5,15,192,"se",2,3,1,817.299999999988,0.817299999999988,2.11930636764858
"m0085",2,5,16,201,"se",2,3,1,863.299999999988,0.863299999999988,2.38862430439646
"m0085",2,5,17,207,"se",2,3,1,619.200000000012,0.619200000000012,0.959482818306204
"m0085",2,5,18,216,"se",2,3,0,NA,NA,NA
"m0085",2,6,1,6,"za",4,1,1,660.799999999988,0.660799999999988,1.20303990893024
"m0085",2,6,2,12,"za",4,1,1,760.799999999988,0.760799999999988,1.78851368446911
"m0085",2,6,3,21,"za",4,1,1,606.799999999988,0.606799999999988,0.886884070139243
"m0085",2,6,4,42,"za",4,1,1,852.700000000012,0.852700000000012,2.32656408418948
"m0085",2,6,5,48,"za",4,1,1,488.599999999977,0.488599999999977,0.194854067452225
"m0085",2,6,6,60,"za",4,1,1,808.599999999977,0.808599999999977,2.06837014917663
"m0085",2,6,7,81,"za",4,1,1,598.299999999988,0.598299999999988,0.837118799218438
"m0085",2,6,8,102,"za",4,1,1,572.199999999953,0.572199999999953,0.684310143802586
"m0085",2,6,9,114,"za",4,1,1,700.200000000012,0.700200000000012,1.43371657649269
"m0085",2,6,10,123,"za",4,1,0,NA,NA,NA
"m0085",2,6,11,129,"za",4,1,1,630,0.63,1.02271398606433
"m0085",2,6,12,135,"za",4,1,1,545.900000000023,0.545900000000023,0.530330540836272
"m0085",2,6,13,141,"za",4,1,1,509.900000000023,0.509900000000023,0.319559981642276
"m0085",2,6,14,156,"za",4,1,1,615.799999999988,0.615799999999988,0.939576709937742
"m0085",2,6,15,177,"za",4,1,1,685.700000000012,0.685700000000012,1.34882287903956
"m0085",2,6,16,192,"za",4,1,1,647.599999999977,0.647599999999977,1.12575737055904
"m0085",2,6,17,201,"za",4,1,0,NA,NA,NA
"m0085",2,6,18,216,"za",4,1,0,NA,NA,NA
"m0085",3,7,1,3,"la",3,3,0,NA,NA,NA
"m0085",3,7,2,15,"la",3,3,1,469.099999999977,0.469099999999977,0.0806866812221443
"m0085",3,7,3,21,"la",3,3,1,713,0.713,1.5086572197616
"m0085",3,7,4,27,"la",3,3,1,405.099999999977,0.405099999999977,-0.294016535122737
"m0085",3,7,5,60,"la",3,3,1,562.899999999965,0.562899999999965,0.629861082677541
"m0085",3,7,6,72,"la",3,3,1,738.700000000012,0.738700000000012,1.65912398007516
"m0085",3,7,7,78,"la",3,3,0,NA,NA,NA
"m0085",3,7,9,108,"la",3,3,1,618.400000000023,0.618400000000023,0.954799028101958
"m0085",3,7,10,120,"la",3,3,0,NA,NA,NA
"m0085",3,7,11,129,"la",3,3,1,496.299999999988,0.496299999999988,0.239935548168783
"m0085",3,7,12,135,"la",3,3,1,652.299999999988,0.652299999999988,1.15327463800943
"m0085",3,7,13,141,"la",3,3,1,584.200000000012,0.584200000000012,0.754566996867597
"m0085",3,7,14,159,"la",3,3,0,NA,NA,NA
"m0085",3,7,15,165,"la",3,3,0,NA,NA,NA
"m0085",3,7,16,177,"la",3,3,1,648,0.648,1.12809926566133
"m0085",3,7,17,204,"la",3,3,1,625.799999999988,0.625799999999988,0.99812408749163
"m0085",3,7,18,216,"la",3,3,0,NA,NA,NA
"m0085",3,8,1,5,"ga",1,2,1,527.599999999977,0.527599999999977,0.423188839912387
"m0085",3,8,2,20,"ga",1,2,0,NA,NA,NA
"m0085",3,8,3,32,"ga",1,2,1,785.399999999965,0.785399999999965,1.93254023325154
"m0085",3,8,4,59,"ga",1,2,1,923.199999999953,0.923199999999953,2.73932309594405
"m0085",3,8,5,68,"ga",1,2,0,NA,NA,NA
"m0085",3,8,6,74,"ga",1,2,1,845,0.845,2.28148260347292
"m0085",3,8,7,86,"ga",1,2,1,341.099999999977,0.341099999999977,-0.668719751467619
"m0085",3,8,8,92,"ga",1,2,1,513,0.513,0.337709668683846
"m0085",3,8,9,104,"ga",1,2,1,416.900000000023,0.416900000000023,-0.22493062960888
"m0085",3,8,10,125,"ga",1,2,0,NA,NA,NA
"m0085",3,8,11,134,"ga",1,2,0,NA,NA,NA
"m0085",3,8,12,155,"ga",1,2,1,386.599999999977,0.386599999999977,-0.402329183597429
"m0085",3,8,13,167,"ga",1,2,1,466.5,0.4665,0.0654643630582682
"m0085",3,8,15,185,"ga",1,2,1,702.29999999993,0.70229999999993,1.44601152577853
"m0085",3,8,16,194,"ga",1,2,1,452.29999999993,0.45229999999993,-0.0176729130686623
"m0085",3,8,17,200,"ga",1,2,1,336.099999999977,0.336099999999977,-0.697993440244562
"m0085",3,8,18,212,"ga",1,2,1,528.199999999953,0.528199999999953,0.42670168256548
"m0085",3,9,1,17,"za",4,1,0,NA,NA,NA
"m0085",3,9,2,23,"za",4,1,0,NA,NA,NA
"m0085",3,9,3,41,"za",4,1,0,NA,NA,NA
"m0085",3,9,4,56,"za",4,1,1,879.599999999977,0.879599999999977,2.48405652980924
"m0085",3,9,5,65,"za",4,1,0,NA,NA,NA
"m0085",3,9,6,74,"za",4,1,0,NA,NA,NA
"m0085",3,9,7,83,"za",4,1,0,NA,NA,NA
"m0085",3,9,8,95,"za",4,1,1,761.29999999993,0.76129999999993,1.79144105334647
"m0085",3,9,9,104,"za",4,1,1,343.199999999953,0.343199999999953,-0.656424802181443
"m0085",3,9,10,122,"za",4,1,1,691.099999999977,0.691099999999977,1.38043846291845
