"test","mean","w","CI.low","CI.hi","p"
"ordinal position",0.0245658649665645,2316166511.5,0.0256176348065661,0.0326742423019823,1.30755373799186e-58
"transitional probability",0.0510118694896698,639069584,0.0542990912396362,0.0644896651658078,4.18598348815403e-113
"word identity",4.40390555093428e-05,2183494639.5,-0.0020933082907954,0.00493864474808227,0.429425838539708
"duplets",-0.00200106494677578,235295447,-0.0194826219751782,-0.00723380475314919,1.96676790113782e-05
