"test","mean","w","CI.low","CI.hi","p"
"ordinal position",-0.0232602296048409,2069496851,-0.0284499462795664,-0.0213295392086576,7.99128060479018e-43
"transitional probability",-0.049930597077162,503119907,-0.0643752234696681,-0.0541087367531017,7.68753763238845e-112
"word identity",-0.00108404382019633,2163429147.5,-0.00629912680098794,0.000732521118022798,0.123325280638342
"duplets",0.00418675171420291,245124639,0.000156149998388158,0.0123687916303949,0.0450632500514576
