"test","mean","w","CI.low","CI.hi","p"
"ordinal position",-0.0270867665163088,2046724402,-0.0331860197034111,-0.0260981766348897,3.6602521189473e-60
"transitional probability",-0.0506259564178638,501700529,-0.0649998590251092,-0.0548882601302066,1.04502104379334e-116
"word identity",0.000101430873963082,2191073431,-0.000204994484603323,0.00678640818004216,0.0671252566288133
"duplets",0.00228763096810269,246305334,0.00267627452496279,0.0148977191265466,0.00481515042313121
