"test","mean","w","CI.low","CI.hi","p"
"ordinal position",0.0120833958155209,497055620,0.00404624360920038,0.0210536154376633,0.00380972417146147
"transitional probability",-0.098392617938351,178810065,-0.0803572522587662,-0.0588397530418067,4.92402747620461e-37
"word identity",0.00798592767142936,486073912,-0.0089382552628051,0.00753677517577159,0.866874811701574
"duplets",0.0397589703707975,58330179.5,0.0225363660154667,0.0504839130009632,2.92540628754968e-07
