"test","mean","w","CI.low","CI.hi","p"
"ordinal position",0.0719428100827789,2288984379,0.0411740499905686,0.0490586510302282,2.61727014529548e-111
"transitional probability",0.0993728987648589,632842121,0.0801517856618993,0.0915923968743324,4.00710492120838e-187
"word identity",0.0058426181976134,2116897967,-0.000796218163846967,0.00704234394720413,0.119285522466359
"duplets",0.079779703343844,231351092.5,-0.0170863230822165,-0.00350105304219064,0.00297795690911666
